status,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
2.0,27.0,2.4361447,0.737060976,125.5633333,11.0,0.0,89.0,2,2,3,2,2,0,365.0,5.42,2.25,36.01693089,23.55512023,20.80467404,191.716,151.2538318,392.0098967,1815.0,1920.446333,0.145397164
3.0,24.7,2.775121667,0.816443596,155.0,44.0,0.0,56.0,2,2,1,2,1,0,984.9007917,3.60947,3.343675,26.96374171,25.72279584,21.7056995,75.25202654,100.7891732,455.0486958,1100.70856,800.0,0.138448798
4.0,50577.92,465.33,115.0121905,1490.215,0.0,100.0,0.0,3,1,4,3,1,0,7482.5,3.04,0.7,541.87885,90.12,107.0,598.985,1217.27,2190.0,0.021456972,4000.0,44.44820526
2.0,45.2,5.49,1.107569513,175.0,0.0,0.0,100.0,3,1,3,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,977.9788763,2946.819475,1032.572267,1.425381736
2.0,45.2,5.49,0.76,175.0,70.0,30.0,0.0,2,2,3,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,103.0,650.0125,1900.0,1307.55175,0.193033197
1.0,48.0,5.574803667,1.055367053,175.0,70.0,30.0,0.0,2,2,2,2,1,0,1460.0,2.751221667,3.22234,41.16292626,32.93865982,20.49635103,74.55834258,104.589214,605.5323703,1415.790578,1064.845217,0.199520969
2.0,43.6,5.49,0.968605685,129.87,0.0,0.0,100.0,3,1,3,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,692.5952738,2842.307689,943.83205,1.400431067
2.0,45.2,5.49,1.092673181,175.0,80.0,0.0,20.0,2,3,5,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,699.725381,3558.195292,900.0,0.193033197
2.0,45.2,5.49,1.156015624,175.0,70.0,30.0,0.0,3,2,2,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,700.8303263,2825.315294,1136.795917,1.425381736
2.0,43.6,5.49,0.974656963,129.87,0.0,0.0,100.0,3,1,3,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,694.8369397,2843.446781,800.0,1.400431067
2.0,43.6,5.49,1.158661113,175.0,70.0,30.0,0.0,3,2,2,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,701.1262507,2797.93814,1155.08525,1.400431067
2.0,27.085,42.770531,1.254598786,175.0,70.0,30.0,0.0,3,2,3,2,1,0,1598.435375,2.608858333,3.341925,51.90173263,35.08987032,25.92562351,103.436961,134.2795782,636.4931492,652.0505813,1405.585,1.109048371
1.0,45.2,5.49,0.976188836,175.0,70.0,30.0,0.0,1,2,2,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,694.0903868,3087.60623,1160.299517,0.193033197
2.0,45.2,5.49,1.168062904,175.0,70.0,30.0,0.0,3,2,2,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,700.7818612,2820.777638,1145.990313,1.425381736
1.0,45.2,5.49,0.96048887,175.0,70.0,30.0,0.0,2,2,1,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,697.6128966,2982.477563,1127.164033,0.193033197
2.0,21.99,5.012315,1.08418218,147.859225,70.0,30.0,0.0,3,2,3,2,1,0,1719.657958,2.561545833,3.14693,48.88656608,38.65372,23.20641156,90.7044725,129.1625232,637.4035502,692.1852818,1375.14,1.001391081
2.0,54.915,7.0,1.077238633,111.08,40.0,40.0,20.0,3,3,1,2,1,0,1825.0,2.5,3.84796,60.23878308,34.39268,24.78929088,91.308,125.70068,689.8671103,2800.0,866.7974833,1.568057344
2.0,45.2,5.49,1.077187318,175.0,0.0,0.0,100.0,3,1,2,2,1,0,2731.416667,2.47,3.5,33.97672836,38.0,14.0,58.0,96.0,700.0077436,2744.238346,1000.0,1.425381736
2.0,27.01,42.970911,1.278475163,175.0,70.0,30.0,0.0,3,2,1,2,1,0,1608.415083,2.71,3.3784,52.0637899,34.90057501,25.4556519,106.2327376,139.1239686,651.0347335,331.0416667,750.0,1.107542506
2.0,27.01,42.874816,1.239363846,175.0,70.0,30.0,0.0,3,2,3,2,1,0,1626.754812,2.71,3.34398,52.69841696,34.73581474,25.40060544,103.5652906,138.9577304,652.6673727,331.0416667,1463.572,1.107542506
2.0,27.01,5.439376,1.249914368,175.0,70.0,30.0,0.0,3,2,2,2,1,0,1609.853792,2.71,3.274735,50.23060551,33.80092047,24.48942976,92.18245654,129.194919,638.5829343,331.0416667,1215.169333,1.107542506
2.0,27.01,5.439376,1.249914368,175.0,70.0,30.0,0.0,3,2,2,2,1,0,1609.853792,2.71,3.274735,50.23060551,33.80092047,24.48942976,92.18245654,129.194919,638.5829343,331.0416667,1215.169333,1.107542506
2.0,32.25,3.560525,1.088919964,175.0,70.0,30.0,0.0,2,2,2,2,1,0,1607.301833,4.43118,3.63244,52.43571765,26.6936695,24.45601931,83.8919637,113.1865477,594.1052523,4433.333333,1046.07705,0.160323509
2.0,20.96,3.49,0.58,127.38,70.0,30.0,0.0,3,2,3,2,1,0,2044.0,2.29,3.5,49.81159,38.82686,26.2625892,87.38216382,119.0499209,652.0137193,1397.059967,1393.769833,0.97812663
2.0,120.975,10.66544333,2.705222616,187.0,100.0,0.0,0.0,1,2,2,1,1,0,1290.189833,3.23,2.084545,104.9022791,94.93638373,32.54163938,228.8619556,309.3105485,809.3422426,1770.609385,1130.602,0.331732837
1.0,120.975,10.55611,2.703630645,187.0,100.0,0.0,0.0,1,2,2,1,1,0,1325.1325,3.23,2.01425,106.3540997,95.12971089,33.01204664,228.4956214,309.263509,815.3103805,1828.482845,1158.889,0.331732837
1.0,96.49,9.161188333,2.053112624,187.0,100.0,0.0,0.0,1,2,2,3,1,0,1631.53175,3.137466667,1.84426,113.3505501,92.73082114,33.57920296,256.3876762,332.9864588,865.965243,1748.919779,1237.734,0.292934912
2.0,13.0,0.0178,0.728734864,76.5,20.0,0.0,80.0,2,1,1,1,2,0,3212.0,3.0,2.0,148.3983573,32.55762697,99.0,240.0,212.91,997.9661,899.99,1200.0,0.097269058
6.0,94288.68,5600.0,201.5,1700.0,100.0,0.0,0.0,1,1,1,1,1,0,10293.0,1.0,1.0,357.2553044,276.0,198.0,947.49486,1066.86,2555.0,0.000258532,2086.66,12.9198842
4.0,63.51,4.52991,1.126651794,157.855,80.0,0.0,20.0,2,4,1,2,1,0,608.3333335,3.765169375,4.38764,34.28431261,27.56437133,21.78238518,79.37634488,107.9915946,499.8397105,2290.0,1283.548,0.232738927
2.0,79.79,5.21779,1.176972203,168.0,80.0,0.0,20.0,2,4,4,2,1,0,917.1750417,3.498615,4.414715,34.98680645,28.06002786,21.48605912,88.09033616,114.0422535,516.0157786,1561.701747,1300.0,0.263862408
2.0,37.0,2.707505,0.746604904,120.0,95.0,0.0,5.0,2,2,3,2,1,0,782.6482083,3.912095,3.525335,25.06385302,23.91308888,20.13989494,57.86731958,90.86015963,373.6200914,1013.419246,1600.0,0.172908687
4.0,40.6,3.032815,0.83196314,131.6072625,100.0,0.0,0.0,2,2,3,2,1,0,956.9265834,3.6828,3.2018,26.88415123,24.78200655,21.06061958,69.92448968,95.94869064,430.3423445,697.3476995,1630.0,0.181968068
2.0,52500.0,5304.2,173.5666667,1460.0,100.0,0.0,0.0,1,1,2,2,1,0,9344.0,1.0,1.0,364.750171,196.74,167.0,477.485,730.0,2674.111667,9.936984183,1700.0,9.362535602
2.0,2820.0,20.48497175,12.3,520.0,100.0,0.0,0.0,1,1,2,1,1,0,4675.041665,1.015,3.0,115.9206022,22.9,162.535,339.205,319.37,1327.5927,40.0,1221.546,1.874747896
3.0,246.4344257,12.60542667,4.428681451,305.0,100.0,0.0,0.0,1,3,1,1,2,0,2479.09825,2.639755,1.574335,185.4024613,42.90427177,62.57702948,356.1283467,393.4525039,1280.941701,223.8195983,1738.846,0.490615904
1.0,1187.0,44.010186,10.34,384.93,90.0,0.0,10.0,2,3,1,1,2,0,4327.876479,1.035,1.574985,278.7624568,60.01778764,78.10441346,621.1930835,689.1565542,1954.958077,129.653669,1957.736,1.164806434
2.0,1430.19,44.5750625,10.24443554,383.25,90.0,0.0,10.0,1,3,2,1,2,0,4436.814987,1.18922,1.62434,277.9851838,61.90865223,79.01975288,626.6530053,693.0325164,1961.831846,124.107252,1703.958,1.290542825
2.0,63.85388804,4.831085,1.268820964,184.0,100.0,0.0,0.0,1,3,2,1,1,0,813.4815833,3.290446667,3.159895,40.81772265,26.75051741,28.0430589,96.63482332,126.0503924,584.8295365,575.9048081,1333.08305,0.233431202
2.0,79.7,4.44,1.25,162.76,100.0,0.0,0.0,1,3,3,1,1,0,273.75,3.345,3.09364,40.74590183,25.71594,27.35364,105.39686,138.0,578.7675742,476.744186,1587.456333,0.263698672
2.0,40.0,15.58955,1.070693878,142.6568425,100.0,0.0,0.0,1,3,2,1,2,0,984.578375,2.919198333,3.16792,40.40419587,30.41816051,26.93945182,92.09430694,126.0316969,578.6166504,730.5744717,1314.62215,0.180484064
2.0,98.495,5.27,1.42,162.76,100.0,0.0,0.0,2,3,3,1,1,0,1000.708333,2.9,3.235735,39.45843367,25.71594,26.23966,96.05,121.76594,554.8345857,2191.47,1721.741,0.296267264
2.0,80.85,4.44,1.25829903,142.0,80.0,0.0,20.0,2,4,3,1,1,0,273.75,3.345,2.91153,41.2674296,25.71594,27.35364,105.39686,131.1128,585.1429273,1045.395952,1495.514383,0.26578464
2.0,98.495,5.27,1.365746505,162.76,100.0,0.0,0.0,1,3,2,1,1,0,1000.708333,2.9,3.102665,39.73377508,25.71594,26.23966,96.05,121.76594,567.0785859,1289.365809,1417.18705,0.296267264
2.0,57.3,2.5,0.89,135.8302925,80.0,0.0,20.0,2,4,6,1,1,0,1715.5,3.75,2.0,42.83433137,21.99,24.3488,97.00706714,119.3345061,557.0810326,2831.666667,1785.896,0.219933258
2.0,77.015,4.90173,1.274548352,184.0,100.0,0.0,0.0,1,3,1,1,1,0,785.5149792,3.56,3.18427,40.95745694,25.341309,27.35275268,100.6414884,129.8053032,565.6069866,927.118872,1308.152,0.258774984
1.0,82.76,4.963385,1.334893759,184.0,100.0,0.0,0.0,1,3,2,1,1,0,717.5565417,3.3779375,3.121095,42.27933655,25.26803079,27.40136736,100.3140295,129.0946022,564.7175889,912.1760385,1433.285,0.269219882
1.0,82.9,17.389225,1.343619403,182.5644875,100.0,0.0,0.0,1,3,3,1,1,0,826.6124583,3.378685,3.202155,41.63305421,29.38393698,26.37999524,100.8877511,133.8014953,544.6386349,1058.229655,1661.349,0.26947027
2.0,98.495,5.27,1.377826761,162.76,100.0,0.0,0.0,1,3,1,1,1,0,1000.708333,2.9,3.17404,39.8140351,25.71594,26.23966,96.05,121.76594,568.085436,1390.4423,1284.7122,0.296267264
4.0,117500.0,109.29,242.7272381,1422.99,90.0,10.0,0.0,1,1,1,2,1,0,13432.0,1.54,0.7,592.968857,131.17916,182.0,2351.48536,2504.515,5246.699417,0.18,2900.0,14.58232227
6.0,7000.0,14.39589835,17.67781322,564.0,100.0,0.0,0.0,1,1,1,1,2,0,2156.541667,1.5,1.5,249.007272,19.9488873,243.52,528.8519259,577.8928477,1761.642655,257.332241,994.515,3.091076741
4.0,7000.0,21.21056781,18.34645691,564.0,100.0,0.0,0.0,1,1,2,3,2,0,2156.541667,1.5,1.5,253.1317221,20.59905628,243.52,564.9759402,603.4227535,1792.577822,305.8717078,600.0,3.091076741
5.0,4747.54,102.02,42.49145455,608.66,80.0,10.0,10.0,1,1,1,2,1,0,6935.0,2.0,1.0,364.750171,123.4374,136.935,571.90318,760.41,3650.0,17.65416132,2300.0,2.496684202
2.0,54.995,3.52228,0.877831433,140.0,20.0,0.0,80.0,2,2,3,2,1,0,1062.668604,5.0,3.6,26.63362785,25.01850327,21.68900996,82.1772,105.6699918,434.8391234,1811.245016,1200.0,0.215022362
2.0,24.89,2.7453,0.743635975,140.0,20.0,0.0,80.0,2,2,1,2,1,0,963.2836667,3.67046,4.161045,26.71298351,24.7707246,22.86583794,72.3596512,101.8529739,373.3411496,1210.294284,1700.0,0.139033533
2.0,28.475,3.926018,1.079532597,140.0,20.0,0.0,80.0,3,2,2,2,1,0,1130.262042,3.54296,4.080875,35.69653034,27.58189412,23.18346576,83.71566192,112.7335852,518.0722648,1320.04554,2150.0,1.136581508
1.0,26.725,4.252384367,1.162498001,140.0,0.0,0.0,100.0,3,1,1,2,1,0,1131.91975,4.18,3.59408,37.03694225,27.77405228,24.59744974,92.85018892,121.6969533,580.3587694,1167.482171,1415.63605,1.101800681
2.0,24.0,2.2,0.763268916,140.0,20.0,0.0,80.0,2,2,2,2,1,0,304.1666665,4.32,1.125,131.5879913,23.52222,14.67682,63.80588,87.3281,506.546178,7679.65,2127.343,0.136276838
2.0,26.725,2.718735,0.730083319,140.0,20.0,0.0,80.0,2,2,2,2,1,0,945.4184375,4.18,3.97758,26.12849885,23.69915428,22.30842278,68.19860822,98.25812702,349.9962183,1478.549701,2500.0,0.144580795
2.0,26.9,2.762965,0.757754349,140.0,20.0,0.0,80.0,2,2,1,2,1,0,936.015125,3.554755,4.168255,26.71113978,24.68210652,22.8855726,71.42734254,97.32841531,369.7394923,1242.949023,1700.0,0.145100737
2.0,39.77,3.210661667,0.884811668,140.0,20.0,0.0,80.0,2,2,1,2,1,0,1046.747,3.0,3.86583,28.00507773,25.89750775,21.99686314,80.38643814,108.5646433,452.9342643,442.88,800.0,0.179912542
2.0,37.3,3.005635,0.804031078,140.0,20.0,0.0,80.0,2,2,1,2,1,0,911.3715417,3.0,3.764595,26.87896982,24.5957621,21.2241498,71.4742284,103.9331697,369.6850525,1352.313658,2450.0,0.173678365
2.0,42.5,2.97,0.808152093,140.0,20.0,0.0,80.0,2,2,1,2,1,0,924.56325,3.445,3.827195,26.70031219,24.63761094,22.03490304,70.37655744,99.08436105,392.5868443,1291.708761,1775.428,0.186603496
2.0,26.54,2.734915,0.727490552,140.0,20.0,0.0,80.0,2,2,3,2,1,0,951.4439792,3.907805,3.7398,26.35897099,24.23064634,22.21666158,67.32529702,99.25084026,349.0548797,1654.457652,2500.0,0.144029473
2.0,28.7,2.715075,0.752490283,140.0,20.0,0.0,80.0,2,2,4,2,1,0,917.1278958,3.730295,3.786945,26.53971219,24.34941016,21.21463198,67.90386392,98.600114,356.6292045,1550.397756,2251.01,0.150362975
2.0,38.99,3.017395,0.81515489,138.378775,20.0,0.0,80.0,2,2,2,2,1,0,909.990625,3.12646,3.76028,27.06745072,24.83266384,22.56337352,75.6458644,104.313974,397.7479513,1234.903913,1607.31,0.177963175
2.0,29.49,2.77866,0.768800768,140.0,20.0,0.0,80.0,2,2,3,2,1,0,929.74625,3.685375,3.74083,26.64452541,24.26580326,22.74615722,67.96764654,98.37746618,361.5377952,1528.613088,1900.0,0.152625462
2.0,33.075,4.590415,0.769839349,129.7475,20.0,0.0,80.0,2,2,2,2,1,0,970.462,3.59,3.916665,26.63634601,25.73769164,22.17124825,65.2599055,102.9084625,347.7507467,2702.945284,3200.0,0.162566398
1.0,26.4,2.62188,0.710842188,110.5285508,20.0,0.0,80.0,2,2,1,2,1,0,893.9245417,3.345885,3.71947,26.84237988,24.8726064,21.74038088,76.30810214,104.8552997,384.8564718,1261.462722,1079.483,0.143611105
2.0,20.69,4.149835,0.69098136,118.5,20.0,0.0,80.0,2,2,4,2,1,0,1008.710958,3.77464,3.94434,27.04244285,26.03196446,21.73004527,67.61237104,102.0924675,373.3964558,2899.823071,3230.0,0.125595516
2.0,23.99,2.36305,0.615182974,92.0,20.0,0.0,80.0,2,2,2,2,1,0,937.7275833,3.64193,4.030375,26.73718693,24.4482318,22.59163607,77.07779202,100.3695634,361.2123005,1684.299564,1700.0,0.136245605
2.0,35.15,2.97,0.784020022,140.0,20.0,0.0,80.0,2,2,3,2,1,0,932.2130417,3.77,3.9,29.97946626,23.21786,26.23966,28.07,91.25,338.5927936,2490.58513,2107.165,0.168098871
2.0,30.39,5.6329525,0.882757239,140.0,20.0,0.0,80.0,2,2,3,2,1,0,1037.898792,3.636221667,4.05509,28.0516716,26.81117574,22.76055206,89.59224488,123.8290074,420.3019571,2153.180055,4900.0,0.155169996
2.0,39.7,2.7738278,0.72342828,107.5,21.0,0.0,79.0,2,2,2,2,1,0,921.7466667,3.0,3.694705,26.58631526,24.40779018,21.6480902,75.26167182,103.9394353,366.5647706,1583.278048,1603.64,0.179738306
1.0,28.3,2.591795,0.749924095,117.985,20.0,0.0,80.0,2,2,2,2,1,0,937.4127708,3.6929,3.68392,26.22621192,24.47686862,21.72249774,71.86847364,99.17665944,374.9939783,1760.04929,1100.0,0.149206727
2.0,42.5,2.97,0.809772093,140.0,20.0,0.0,80.0,2,2,1,2,1,0,925.7647083,3.445,3.83269,26.70620815,24.64259406,22.04363472,70.42182936,99.08436105,392.5868443,1293.900298,1774.003,0.186603496
2.0,33.075,4.606555,0.773645781,129.7475,20.0,0.0,80.0,2,2,2,2,1,0,1002.137917,3.59,3.966215,26.58538591,25.83439666,22.44070903,66.70081194,102.802366,360.7017936,2561.718581,3200.0,0.162566398
2.0,34.69,2.962065,0.781905738,140.0,20.0,0.0,80.0,2,2,4,2,1,0,961.3339583,3.556635,4.180475,26.65441363,24.66994474,23.11235512,68.66833764,97.34701163,371.980459,1346.014119,1900.0,0.166885356
2.0,28.3,2.559415,0.757060997,117.985,21.0,0.0,79.0,2,2,1,2,1,0,928.2923333,3.365715,3.733475,26.80194758,24.77653828,21.79986835,74.69786604,103.563897,390.5007526,1447.350634,900.0,0.149206727
1.0,38.99,3.082726667,0.840817996,140.0,20.0,0.0,80.0,2,2,2,2,1,0,921.6189167,3.0,3.964665,27.18634428,25.46676707,22.9704554,78.97195984,107.071853,415.7545251,1091.590005,1200.0,0.177963175
1.0,23.0,2.53115,0.739795271,117.83526,22.0,0.0,78.0,2,2,1,2,1,0,919.8486667,3.310335,3.740195,26.92232512,24.95081508,21.81572966,78.91443002,107.2918946,396.4438692,1275.852168,1049.23,0.133123944
2.0,28.3,2.58214,0.733935756,117.985,21.0,0.0,79.0,2,2,1,2,1,0,910.629375,3.35717,3.708985,26.81223553,24.5582583,21.56565623,73.3771039,103.2009917,375.1494048,1547.284711,1254.38,0.149206727
1.0,27.7,2.392735,0.658492446,95.97,20.0,0.0,80.0,2,2,1,2,1,0,909.6742917,3.387285,3.71687,27.30785606,24.64483564,21.75774471,77.5715751,105.2335519,365.8732917,1390.641302,1364.178,0.147458475
2.0,28.3,2.61876,0.72548741,117.985,20.0,0.0,80.0,2,2,1,2,1,0,923.2081875,3.64542,3.470885,26.1476907,23.98562322,21.69999004,71.52408494,100.9398076,362.6571017,1404.269554,1635.105,0.149206727
3.0,34.6,2.99285,0.802029099,137.6248475,20.0,0.0,80.0,2,2,1,2,1,0,943.3668333,3.43904,4.14423,26.92331445,25.16145478,22.85312078,73.17482088,100.7621448,395.3522065,1187.480268,1300.0,0.166647084
2.0,40.0,3.090675,0.812653353,140.0,20.0,0.0,80.0,2,2,3,2,1,0,970.7570417,3.0,4.15196,26.96093368,24.94783848,22.48791664,74.49726296,103.0395568,393.993105,1299.08539,2100.0,0.180484064
2.0,33.075,2.841711667,0.833611479,129.7475,20.0,0.0,80.0,2,2,1,2,1,0,967.9100417,3.59,4.06189,26.90226886,25.21726892,22.94852422,73.11067434,102.3799756,415.7892182,1160.044296,950.0,0.162566398
2.0,33.075,4.590415,0.769839349,129.7475,20.0,0.0,80.0,2,2,2,2,1,0,970.462,3.59,3.916665,26.63634601,25.73769164,22.17124825,65.2599055,102.9084625,347.7507467,2702.945284,3200.0,0.162566398
2.0,27.5,2.71402,0.762561205,140.0,20.0,0.0,80.0,2,2,2,2,1,0,944.5819792,4.18,3.983375,26.26207236,23.72573384,22.33775602,67.95147364,98.58828198,352.9394916,1468.463796,2600.0,0.146871945
4.0,38.99,3.058751667,0.837433275,140.0,20.0,0.0,80.0,2,2,1,2,1,0,943.1113333,3.256525,4.058495,27.24194619,25.15020174,22.95848334,74.42472644,102.493527,410.4851463,937.8243143,1500.0,0.177963175
2.0,38.99,3.069781667,0.829334216,140.0,20.0,0.0,80.0,2,2,2,2,1,0,922.8964167,3.0,3.95576,27.16853148,25.22643959,22.8265858,78.67067728,106.5799595,409.9809359,1060.980151,1500.0,0.177963175
2.0,40.0,3.109946667,0.846849387,140.0,20.0,0.0,80.0,2,2,1,2,1,0,964.8622917,3.0,3.85782,27.57624722,25.41141003,22.73890912,79.28900048,107.1312985,423.1070712,971.6573482,1381.513,0.180484064
2.0,34.69,2.967655,0.796372952,140.0,20.0,0.0,80.0,2,2,4,2,1,0,976.931625,3.593975,4.153015,27.08066667,25.30775376,22.8007109,72.54242826,100.514404,407.1709932,1282.596007,1500.0,0.166885356
1.0,38.65,3.0624,0.812899161,140.0,20.0,0.0,80.0,2,2,2,2,1,0,966.7420417,3.0,4.13662,27.00914566,24.97313102,22.31090288,73.4548264,103.0599067,390.7063923,1259.844668,2835.0,0.177107964
2.0,159938.92,11777.78,294.8333333,2151.663333,100.0,0.0,0.0,1,1,4,2,1,0,5828.847222,0.996666667,1.076666667,358.2546201,240.6372267,193.0,670.1531467,927.7,2863.875333,0.966679077,2419.35,17.2774901
2.0,359750.0,13013.6325,424.99395,2972.8525,100.0,0.0,0.0,1,1,2,2,1,0,9855.0,1.28,1.1175,364.750171,241.9751438,106.0225,700.74526,1046.515,3566.17565,0.648212121,2500.0,26.98399867
2.0,72.5,12.4374574,1.374031441,155.5720813,80.0,0.0,20.0,2,3,2,1,1,0,30.41666655,2.52,1.989705,107.6919626,32.5735746,37.27105272,207.0403007,229.8693488,785.7522408,892.2821911,1438.295333,0.250317821
2.0,72.5,12.4410474,1.379132118,156.9893263,80.0,0.0,20.0,2,3,2,1,1,0,30.41666655,2.52,1.9391,115.0765081,32.67138456,37.7734855,208.5663727,228.632511,795.5534463,948.8098381,1433.370333,0.250317821
2.0,58.7,4.982252633,1.274058668,131.9952825,80.0,0.0,20.0,2,3,1,1,1,0,1898.0,4.5,2.0,84.11018372,26.14710618,33.0,142.0,105.22,625.1262,1578.201421,952.286,0.222872673
2.0,58.7,4.850519833,1.275398903,133.5531225,80.0,0.0,20.0,2,3,2,1,1,0,1898.0,4.5,2.0,84.24117401,26.21597748,33.0,142.0,105.22,625.1262,1446.211907,1097.624,0.222872673
2.0,232.0,9.319284667,2.627159278,231.1802835,80.0,0.0,20.0,1,3,2,1,1,1,1533.0,5.0,1.73362,129.2087297,30.15820021,38.99024634,300.2249555,303.5638633,750.0250761,1492.968306,1884.161,0.4745962
1.0,92.39,6.465252,1.522414113,168.1312475,80.0,0.0,20.0,1,3,2,1,1,0,1303.954896,3.983123333,1.966075,100.4285967,27.6460585,34.62723578,190.8389303,221.2550223,689.5493997,1220.8021,1253.841,0.286022104
2.0,76.5,6.534423667,1.578520804,162.7697038,80.0,0.0,20.0,1,3,3,1,1,0,879.0416665,3.818093333,1.949665,100.5193273,28.06685312,34.47259776,187.7065933,221.6445683,724.2401825,1116.659826,1300.0,0.257821811
