animal_name,status
Kogia breviceps,lc
Kogia sima,lc
Kolpochoerus majus,Remove
Komodomys rintjanus,vu
Kunsia fronto,cr
Kunsia tomentosus,lc
Laephotis angolensis,dd
Laephotis botswanae,lc
Laephotis namibensis,lc
Laephotis wintoni,lc
Lagenodelphis hosei,lc
Lagenorhynchus acutus,lc
Lagenorhynchus albirostris,lc
Lagenorhynchus australis,lc
Lagenorhynchus cruciger,lc
Lagenorhynchus obliquidens,lc
Lagenorhynchus obscurus,lc
Lagidium ahuacaense,dd
Lagidium viscacia,lc
Lagidium wolffsohni,dd
Lagorchestes asomatus,ex
Lagorchestes conspicillatus,lc
Lagorchestes hirsutus,vu
Lagorchestes leporides,ex
Lagostomus crassus,ex
Lagostomus maximus,lc
Lagostrophus fasciatus,vu
Lagothrix cana,vu
Lagothrix lagotricha,vu
Lagothrix lugens,vu
Lagothrix poeppigii,Remove
Lagurus lagurus,lc
Lama guanicoe,lc
Lamottemys okuensis,en
Lampronycteris brachyotis,lc
Laonastes aenigmamus,lc
Lariscus hosei,lc
Lariscus insignis,lc
Lariscus niobe,dd
Lariscus obscurus,nt
Lasionycteris noctivagans,lc
Lasiopodomys brandtii,lc
Lasiopodomys fuscus,lc
Lasiopodomys mandarinus,lc
Lasiorhinus krefftii,cr
Lasiorhinus latifrons,nt
Lasiurus atratus,lc
Lasiurus blossevillii,lc
Lasiurus blossevillii,lc
Lasiurus borealis,lc
Lasiurus castaneus,dd
Lasiurus cinereus,lc
Lasiurus degelidus,vu
Lasiurus ebenus,dd
Lasiurus ega,lc
Lasiurus egregius,dd
Lasiurus insularis,vu
Lasiurus intermedius,lc
Lasiurus minor,vu
Lasiurus pfeifferi,nt
Lasiurus seminolus,lc
Lasiurus varius,lc
Lasiurus xanthinus,lc
Latidens salimalii,en
Lavia frons,lc
Leggadina forresti,lc
Leggadina lakedownensis,lc
Leimacomys buettneri,dd
Lemmiscus curtatus,lc
Lemmus amurensis,lc
Lemmus lemmus,lc
Lemmus portenkoi,dd
Lemmus sibiricus,lc
Lemmus trimucronatus,lc
Lemniscomys barbarus,lc
Lemniscomys bellieri,lc
Lemniscomys griselda,lc
Lemniscomys hoogstraali,dd
Lemniscomys linulus,lc
Lemniscomys macculus,lc
Lemniscomys mittendorfi,lc
Lemniscomys rosalia,lc
Lemniscomys roseveari,dd
Lemniscomys striatus,lc
Lemniscomys zebra,lc
Lemur catta,en
Lenomys meyeri,lc
Lenothrix canus,lc
Lenoxus apicalis,lc
Leontopithecus caissara,en
Leontopithecus chrysomelas,en
Leontopithecus chrysopygus,en
Leontopithecus rosalia,en
Leopardus amnicola,Remove
Leopardus colocolo,nt
Leopardus geoffroyi,lc
Leopardus guigna,vu
