animal_name,status,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Dacnomys millardi,dd,Rodentia,73.99,4.6976145,1.729976912,290.0,55.0,0.0,45.0,2,3,G,1,1,1,0,964.5459583,4.001215,3.37079,45.01054585,23.48719337,26.02635788,102.325853,140.7570278,573.60448,1349.854532,2000.0,0.25313432
Dactylomys boliviensis,lc,Rodentia,689.39,78.0,6.582782389,292.51,100.0,0.0,0.0,1,1,Ar,1,1,2,0,3443.75675,2.0,1.795175,160.7583605,95.19267864,55.532254,344.8652062,429.9224235,1583.091258,320.061095,1420.824,0.86389628
Dactylomys dactylinus,lc,Rodentia,649.98,58.0550725,5.682108116,292.51,100.0,0.0,0.0,1,1,Ar,1,1,2,0,1417.258196,1.60452,1.81134,152.9186455,88.95615948,53.39610202,317.9587999,406.1642206,1277.062224,189.8715344,1619.133333,0.836374651
Dactylomys peruanus,dd,Rodentia,382.0,44.572755,4.883847773,250.0,100.0,0.0,0.0,1,1,Ar,1,1,2,0,1459.294333,1.71958,1.7931,144.1031627,87.40463072,50.92696638,315.9431115,396.2495885,1227.434329,228.2761983,2300.0,0.624368113
Dactylonax palpator,lc,Diprotodontia,369.87,11.09056989,7.15876,234.89,20.0,0.0,80.0,3,1,Ar,1,1,2,0,3945.499133,1.01,1.586565,245.5651076,22.98813362,147.1804552,391.4650125,425.0704213,1639.722169,169.4389002,2200.0,3.992614864
Dactylopsila megalura,lc,Diprotodontia,400.0,6.584396468,5.021503746,263.775,20.0,0.0,80.0,2,1,Ar,1,1,2,0,3504.0,1.52,1.1,364.750171,21.1914647,134.3393991,393.6832511,411.3222591,1569.070052,163.4735252,1300.0,0.640381623
Dactylopsila tatei,en,Diprotodontia,359.0,6.795703418,4.6102,273.0,20.0,0.0,80.0,2,1,Ar,1,1,2,0,3504.0,1.52,1.1,364.750171,21.2941227,132.1042307,400.1418473,418.510473,1569.072648,223.7268886,400.0,0.603403482
Dactylopsila trivirgata,lc,Diprotodontia,406.705,21.33601226,6.03988,273.0,20.0,0.0,80.0,3,1,Ar,1,1,2,0,3504.0,1.52,1.1,364.750171,24.28578294,155.3484453,592.328722,622.3548166,1960.90688,4.0,2300.0,4.182734681
Dama dama,en,Cetartiodactyla,63612.305,4511.17,195.6572,1750.0,100.0,0.0,0.0,1,1,G,3,2,1,0,9125.0,1.07,1.0,364.750171,233.0,182.92036,515.14,1095.0,3286.095,16.56,2311.633,10.40527322
Dama mesopotamica,en,Cetartiodactyla,72500.0,4511.17,195.6572,1750.0,100.0,0.0,0.0,1,1,G,2,2,1,0,9125.0,1.07,1.0,364.750171,233.0,182.92036,515.14,749.0,2605.92075,16.56,2047.546,11.18128633
Damaliscus lunatus,lc,Cetartiodactyla,118798.7175,11100.0,275.6666667,1875.0,100.0,0.0,0.0,1,1,G,3,2,1,0,8614.0,1.0,0.585,452.7658057,238.0,222.6348593,639.117,912.5,2190.0,0.994474854,1500.0,14.67075042
Damaliscus pygargus,lc,Cetartiodactyla,84500.0,6792.0,254.6,1500.0,100.0,0.0,0.0,1,1,G,2,2,1,0,8714.375,1.25,1.1,364.750171,243.0,152.0,707.0,1003.75,3053.358833,2.161787587,2000.0,12.16401803
