animal_name,status
Microsciurus mimulus,lc
Microsciurus santanderensis,dd
Microtus abbreviatus,lc
Microtus agrestis,lc
Microtus anatolicus,dd
Microtus arvalis,lc
Microtus bavaricus,cr
Microtus brachycercus,lc
Microtus breweri,vu
Microtus cabrerae,nt
Microtus californicus,lc
Microtus canicaudus,lc
Microtus chrotorrhinus,lc
Microtus clarkei,lc
Microtus daghestanicus,lc
Microtus dogramacii,lc
Microtus duodecimcostatus,lc
Microtus evoronensis,dd
Microtus felteni,lc
Microtus fortis,lc
Microtus gerbei,lc
Microtus gregalis,lc
Microtus guatemalensis,nt
Microtus guentheri,lc
Microtus henseli,Remove
Microtus hyperboreus,lc
Microtus ilaeus,lc
Microtus irani,vu
Microtus irani,vu
Microtus kermanensis,dd
Microtus kikuchii,lc
Microtus levis,lc
Microtus liechtensteini,lc
Microtus limnophilus,lc
Microtus longicaudus,lc
Microtus lusitanicus,lc
Microtus majori,lc
Microtus maximowiczii,lc
Microtus mexicanus,lc
Microtus middendorffii,lc
Microtus miurus,lc
Microtus mongolicus,lc
Microtus montanus,lc
Microtus montebelli,lc
Microtus mujanensis,dd
Microtus multiplex,lc
Microtus nasarovi,dd
Microtus oaxacensis,en
Microtus ochrogaster,lc
Microtus oeconomus,lc
Microtus oregoni,lc
Microtus paradoxus,lc
Microtus pennsylvanicus,lc
Microtus pinetorum,lc
Microtus qazvinensis,lc
Microtus quasiater,nt
Microtus richardsoni,lc
Microtus sachalinensis,lc
Microtus savii,lc
Microtus schelkovnikovi,lc
Microtus schidlovskii,lc
Microtus socialis,lc
Microtus subterraneus,lc
Microtus tatricus,lc
Microtus thomasi,lc
Microtus townsendii,lc
Microtus transcaspicus,lc
Microtus umbrosus,en
Microtus xanthognathus,lc
Millardia gleadowi,lc
Millardia kathleenae,lc
Millardia kondana,en
Millardia meltada,lc
Mimetillus moloneyi,lc
Mimon bennettii,lc
Mimon cozumelae,lc
Mimon crenulatum,lc
Mimon koepckeae,dd
Mindomys hammondi,en
Miniopterus africanus,dd
Miniopterus australis,lc
Miniopterus fraterculus,lc
Miniopterus fuscus,en
Miniopterus gleni,dd
Miniopterus gleni,dd
Miniopterus griveaudi,dd
Miniopterus inflatus,lc
Miniopterus macrocneme,lc
Miniopterus magnater,lc
Miniopterus majori,lc
Miniopterus manavi,lc
Miniopterus manavi,lc
Miniopterus manavi,lc
Miniopterus manavi,lc
Miniopterus manavi,lc
Miniopterus medius,lc
Miniopterus minor,dd
Miniopterus natalensis,lc
Miniopterus newtoni,dd
Miniopterus paululus,lc
Miniopterus petersoni,lc
Miniopterus petersoni,lc
Miniopterus pusillus,lc
Miniopterus robustior,en
Miniopterus schreibersii,vu
Miniopterus schreibersii,vu
Miniopterus schreibersii,vu
Miniopterus shortridgei,dd
Miniopterus sororculus,lc
Miniopterus tristis,lc
Miopithecus ogouensis,nt
Miopithecus talapoin,vu
Miracinonyx trumani,Remove
Mirimiri acrodonta,cr
Mirounga angustirostris,lc
Mirounga leonina,lc
Mirza coquereli,en
Mirza zaza,vu
Mixotoxodon larensis,Remove
Mogera etigo,en
Mogera imaizumii,lc
Mogera insularis,lc
Mogera robusta,lc
Mogera tokudae,nt
Mogera uchidai,vu
Mogera wogura,lc
Molossops aequatorianus,en
Molossops mattogrossensis,lc
Molossops neglectus,dd
Molossops temminckii,lc
Molossus alvarezi,dd
Molossus aztecus,lc
Molossus coibensis,lc
Molossus currentium,lc
Molossus currentium,lc
Molossus molossus,lc
Molossus pretiosus,lc
Molossus rufus,lc
Molossus sinaloae,lc
Monachus monachus,en
Monodelphis adusta,lc
Monodelphis americana,lc
Monodelphis brevicaudata,lc
Monodelphis dimidiata,lc
Monodelphis domestica,lc
Monodelphis emiliae,lc
Monodelphis glirina,lc
Monodelphis handleyi,dd
Monodelphis iheringi,dd
Monodelphis kunsi,lc
Monodelphis osgoodi,lc
Monodelphis palliolata,lc
Monodelphis peruviana,lc
Monodelphis reigi,vu
Monodelphis ronaldi,lc
Monodelphis scalops,lc
Monodelphis unistriata,cr
Monodon monoceros,lc
Monophyllus plethodon,lc
Monophyllus redmani,lc
Monticolomys koopmani,lc
Mops brachypterus,lc
Mops condylurus,lc
Mops congicus,lc
Mops demonstrator,lc
Mops leucostigma,lc
Mops midas,lc
Mops mops,nt
Mops nanulus,lc
Mops niangarae,dd
Mops niveiventer,lc
Mops petersoni,nt
Mops sarasinorum,dd
Mops spurrelli,lc
Mops thersites,lc
Mops trevori,dd
Morenelaphus brachyceros,Remove
Morenelaphus lujanensis,Remove
Mormoops blainvillei,lc
Mormoops magna,Remove
Mormoops megalophylla,lc
Mormopterus acetabulosus,en
Mormopterus acetabulosus,en
Mormopterus beccarii,lc
Mormopterus doriae,dd
Mormopterus jugularis,lc
Mormopterus kalinowskii,lc
Mormopterus loriae,lc
Mormopterus loriae,lc
Mormopterus loriae,lc
Mormopterus loriae,lc
Mormopterus loriae,lc
Mormopterus loriae,lc
Mormopterus loriae,lc
Mormopterus minutus,vu
Mormopterus norfolkensis,nt
Mormopterus norfolkensis,nt
Mormopterus phrudus,vu
Mormopterus planiceps,lc
Moschiola indica,lc
Moschiola kathygre,lc
Moschiola meminna,lc
Moschus anhuiensis,en
Moschus berezovskii,en
Moschus chrysogaster,en
Moschus cupreus,en
Moschus fuscus,en
Moschus leucogaster,en
Moschus moschiferus,vu
Mosia nigrescens,lc
Muknalia minima,Remove
Mungos gambianus,lc
Mungos mungo,lc
Mungotictis decemlineata,en
Muntiacus atherodes,nt
Muntiacus crinifrons,vu
Muntiacus feae,dd
Muntiacus gongshanensis,dd
Muntiacus montanus,dd
Muntiacus muntjak,lc
Muntiacus putaoensis,dd
Muntiacus reevesi,lc
Muntiacus rooseveltorum,dd
Muntiacus truongsonensis,dd
Muntiacus vaginalis,lc
Muntiacus vuquangensis,cr
Murexia habbema,lc
Murexia longicaudata,lc
Murexia melanurus,lc
Murexia naso,lc
Murexia rothschildi,nt
Muriculus imberbis,lc
Murina aenea,vu
Murina aurata,dd
Murina cyclotis,lc
